id,chunk_text,ticket_subject,ticket_type,ticket_priority,ticket_channel,ticket_status,product_purchased,date_ts,customer_satisfaction_rating,age_band,issue_family,issue_severity,needs_immediate_attention
5903,"Casual inquiry. I was just browsing and came across Microsoft Office 365. Out of curiosity, what does it actually do? I am not planning a purchase, just interested to learn more",Casual inquiry,Product inquiry,Low,Email,Pending Customer Response,Microsoft Office 365,1712707200,2,55-64,product,low,false
5794,Bundle deals. I am interested in purchasing iPhone 15 along with some accessories. Are there any bundle deals available that would be more economical?,Bundle deals,Product inquiry,Medium,Email,Pending Customer Response,Apple MacBook Pro,1730419200,3,35-44,product,normal,false
3996,Switching provider. Please cancel my Apple MacBook Pro subscription. I have found another solution that works better for my needs. Would like the cancellation confirmed by email,Switching provider,Cancellation request,Medium,Social media,Open,Samsung Galaxy S23,1705276800,1,45-54,cancellation,normal,false
2822,"Billing date preference. I was wondering if it is possible to change my billing date for Adobe Creative Cloud from the 15th to the 1st of the month. Just a preference, not urgent",Billing date preference,Billing inquiry,Low,Web,Pending Customer Response,Microsoft Office 365,1712707200,,35-44,billing,low,false
4696,Emergency procurement. Our current system completely failed this morning and we urgently need to know if Dell XPS Laptop can replace it for 100 users by tomorrow. Please respond today,Emergency procurement,Product inquiry,Critical,Email,Open,Dell XPS Laptop,1705276800,4,18-24,product,urgent,true
1859,Repeated overcharges. I have been overcharged every month for 6 months. The total overcharge is now $1299.00. I have emailed before but nothing has been fixed,Repeated overcharges,Billing inquiry,Critical,Chat,Open,Microsoft Office 365,1709596800,4,55-64,billing,urgent,true
1821,Repeated overcharges. I have been overcharged every month for 4 months. The total overcharge is now $749.99. I have emailed before but nothing has been fixed,Repeated overcharges,Billing inquiry,Critical,Social media,Open,Adobe Creative Cloud,1730419200,,45-54,billing,urgent,true
7877,Unexpected invoice. I received an invoice for Apple MacBook Pro that I was not expecting. The amount is $149.99 and I need to understand what it is for before I can approve payment,Unexpected invoice,Billing inquiry,Medium,Social media,Closed,Microsoft Office 365,1730419200,,55-64,billing,normal,false
4356,Trial cancel. I signed up for the Nintendo Switch free trial just to have a look. I have decided it is not quite what I need and would like to cancel before any charge happens,Trial cancel,Cancellation request,Low,Phone,Pending Customer Response,iPhone 15,1712707200,4,55-64,cancellation,low,false
7070,Standard return. I would like to return my Sony WH-1000XM5 and get a refund. It is not quite what I expected but it works fine. I am within the return window so hoping this is straightforward,Standard return,Refund request,Medium,Phone,Open,Adobe Creative Cloud,1730419200,,35-44,refund,normal,false
983,Display issue. There is a small flickering in the bottom corner of my Google Pixel 8 screen. Only noticeable on white backgrounds. Does not really affect my work,Display issue,Technical issue,Medium,Phone,Pending Customer Response,Fitbit Charge 6,1709596800,3,35-44,technical,normal,false
6064,"General recommendation. I am casually looking for something good for music production. Would HP LaserJet Printer be a good fit? No urgency, just exploring options at this stage",General recommendation,Product inquiry,Low,Web,Open,Amazon Echo,1705276800,2,18-24,product,low,false
8228,Cancellation needed soon. I need to cancel my Amazon Echo subscription before it renews next week. I have been meaning to do this for a while. Please process the cancellation when you get a chance,Cancellation needed soon,Cancellation request,Medium,Phone,Open,Amazon Echo,1712707200,,18-24,cancellation,normal,false
3024,"Payment history. I would like to download my payment history for Fitbit Charge 6 for my own records. No rush on this at all, just for personal accounting purposes",Payment history,Billing inquiry,Low,Web,Closed,iPhone 15,1730419200,4,45-54,billing,low,false
880,Software bug. There is a bug in iPhone 15 where the formatting gets messed up when I paste text. Does not happen every time. I found a workaround but it is a bit tedious,Software bug,Technical issue,Medium,Chat,Closed,Autodesk AutoCAD,1712707200,5,35-44,technical,normal,false
3333,Urgent account closure. I need my iPhone 15 account closed today. There has been suspicious activity and I do not feel safe keeping the account open. Please act on this urgently,Urgent account closure,Cancellation request,Critical,Email,Open,iPhone 15,1730419200,,18-24,cancellation,urgent,true
5066,Same day decision. I need to make a purchasing decision on HP LaserJet Printer today as our budget expires at end of business. Can someone call me back within the hour?,Same day decision,Product inquiry,Critical,Chat,Closed,HP LaserJet Printer,1705276800,3,45-54,product,urgent,true
4197,No longer needed. I would like to cancel my Autodesk AutoCAD account. I was using it for a project that has now ended and I have no further use for the service,No longer needed,Cancellation request,Medium,Email,Pending Customer Response,Samsung Galaxy S23,1712707200,4,35-44,cancellation,normal,false
